epoch,global_step,phase,loss,accuracy,f1_macro,f1_weighted,precision,recall,learning_rate,wall_sec
0.0089,50,train,6.594901,,,,,,0.00000058,78.6
0.0177,100,train,6.154015,,,,,,0.00000117,89.5
0.0266,150,train,5.735107,,,,,,0.00000176,100.8
0.0355,200,train,5.477717,,,,,,0.00000235,112.0
0.0443,250,train,5.221268,,,,,,0.00000295,123.3
0.0532,300,train,4.726023,,,,,,0.00000354,134.6
0.0621,350,train,4.375958,,,,,,0.00000413,146.2
0.0709,400,train,4.008734,,,,,,0.00000472,157.3
0.0798,450,train,3.802556,,,,,,0.00000531,168.6
0.0887,500,train,3.756489,,,,,,0.00000590,180.2
0.0975,550,train,3.529071,,,,,,0.00000649,191.4
0.1064,600,train,3.494667,,,,,,0.00000708,203.0
0.1153,650,train,3.283042,,,,,,0.00000768,214.4
0.1241,700,train,3.294609,,,,,,0.00000827,225.5
0.1330,750,train,3.219359,,,,,,0.00000886,236.9
0.1419,800,train,3.080181,,,,,,0.00000945,248.3
0.1507,850,train,3.078193,,,,,,0.00001004,259.7
0.1596,900,train,2.995342,,,,,,0.00001063,271.1
0.1685,950,train,2.918238,,,,,,0.00001122,282.5
0.1773,1000,train,2.851321,,,,,,0.00001182,293.9
0.1862,1050,train,2.811185,,,,,,0.00001241,305.3
0.1951,1100,train,2.777655,,,,,,0.00001300,317.0
0.2039,1150,train,2.663080,,,,,,0.00001359,328.1
0.2128,1200,train,2.728716,,,,,,0.00001418,339.8
0.2217,1250,train,2.739235,,,,,,0.00001477,351.2
0.2305,1300,train,2.670979,,,,,,0.00001536,362.3
0.2394,1350,train,2.675683,,,,,,0.00001596,373.7
0.2483,1400,train,2.553759,,,,,,0.00001655,385.1
0.2571,1450,train,2.546244,,,,,,0.00001714,396.8
0.2660,1500,train,2.653427,,,,,,0.00001773,408.2
0.2749,1550,train,2.609339,,,,,,0.00001832,419.3
0.2837,1600,train,2.596737,,,,,,0.00001891,430.8
0.2926,1650,train,2.541009,,,,,,0.00001950,442.2
0.3015,1700,train,2.517202,,,,,,0.00001999,453.9
0.3103,1750,train,2.454802,,,,,,0.00001992,465.0
0.3192,1800,train,2.503382,,,,,,0.00001986,476.7
0.3281,1850,train,2.474959,,,,,,0.00001979,487.8
0.3369,1900,train,2.390455,,,,,,0.00001973,499.2
0.3458,1950,train,2.419051,,,,,,0.00001966,510.6
0.3547,2000,train,2.395250,,,,,,0.00001960,522.1
0.3635,2050,train,2.436615,,,,,,0.00001953,533.4
0.3724,2100,train,2.354821,,,,,,0.00001946,544.8
0.3813,2150,train,2.428816,,,,,,0.00001940,556.5
0.3901,2200,train,2.357857,,,,,,0.00001933,567.9
0.3990,2250,train,2.367367,,,,,,0.00001927,579.1
0.4079,2300,train,2.370998,,,,,,0.00001920,590.5
0.4167,2350,train,2.376276,,,,,,0.00001914,601.9
0.4256,2400,train,2.271093,,,,,,0.00001907,613.5
0.4345,2450,train,2.355158,,,,,,0.00001900,624.6
0.4433,2500,train,2.295873,,,,,,0.00001894,636.0
0.4522,2550,train,2.300673,,,,,,0.00001887,647.5
0.4611,2600,train,2.312668,,,,,,0.00001881,658.9
0.4699,2650,train,2.264171,,,,,,0.00001874,670.5
0.4788,2700,train,2.339733,,,,,,0.00001868,681.7
0.4877,2750,train,2.214536,,,,,,0.00001861,693.4
0.4965,2800,train,2.305091,,,,,,0.00001854,704.6
0.5054,2850,train,2.244940,,,,,,0.00001848,716.0
0.5143,2900,train,2.219989,,,,,,0.00001841,727.4
0.5231,2950,train,2.234657,,,,,,0.00001835,738.8
0.5320,3000,train,2.238036,,,,,,0.00001828,750.2
0.5409,3050,train,2.217654,,,,,,0.00001822,761.6
0.5497,3100,train,2.209819,,,,,,0.00001815,773.0
0.5586,3150,train,2.179617,,,,,,0.00001808,784.4
0.5675,3200,train,2.245742,,,,,,0.00001802,795.8
0.5763,3250,train,2.238480,,,,,,0.00001795,807.2
0.5852,3300,train,2.193581,,,,,,0.00001789,818.9
0.5941,3350,train,2.174267,,,,,,0.00001782,830.3
0.6029,3400,train,2.213781,,,,,,0.00001776,841.7
0.6118,3450,train,2.175191,,,,,,0.00001769,852.9
0.6207,3500,train,2.179271,,,,,,0.00001763,864.2
0.6295,3550,train,2.204689,,,,,,0.00001756,875.6
0.6384,3600,train,2.186597,,,,,,0.00001749,887.0
0.6473,3650,train,2.108659,,,,,,0.00001743,898.4
0.6561,3700,train,2.099231,,,,,,0.00001736,909.9
0.6650,3750,train,2.070479,,,,,,0.00001730,921.3
0.6739,3800,train,2.166871,,,,,,0.00001723,932.7
0.6827,3850,train,2.075688,,,,,,0.00001717,944.3
0.6916,3900,train,2.105542,,,,,,0.00001710,955.5
0.7005,3950,train,2.125560,,,,,,0.00001703,966.9
0.7093,4000,train,2.217335,,,,,,0.00001697,978.3
0.7182,4050,train,2.101774,,,,,,0.00001690,989.7
0.7271,4100,train,2.191126,,,,,,0.00001684,1001.0
0.7359,4150,train,2.059674,,,,,,0.00001677,1012.7
0.7448,4200,train,2.173715,,,,,,0.00001671,1023.9
0.7537,4250,train,2.136686,,,,,,0.00001664,1035.3
0.7625,4300,train,2.134934,,,,,,0.00001657,1046.7
0.7714,4350,train,2.096097,,,,,,0.00001651,1058.1
0.7803,4400,train,2.120595,,,,,,0.00001644,1069.4
0.7891,4450,train,2.057570,,,,,,0.00001638,1080.8
0.7980,4500,train,2.075997,,,,,,0.00001631,1092.2
0.8069,4550,train,2.114382,,,,,,0.00001625,1103.8
0.8157,4600,train,2.033430,,,,,,0.00001618,1115.0
0.8246,4650,train,1.973363,,,,,,0.00001611,1126.3
0.8335,4700,train,2.094990,,,,,,0.00001605,1137.7
0.8423,4750,train,2.003637,,,,,,0.00001598,1149.3
0.8512,4800,train,1.991346,,,,,,0.00001592,1160.7
0.8601,4850,train,2.059564,,,,,,0.00001585,1171.9
0.8689,4900,train,2.046397,,,,,,0.00001579,1183.3
0.8778,4950,train,1.905499,,,,,,0.00001572,1194.7
0.8867,5000,train,1.969370,,,,,,0.00001565,1206.0
0.8955,5050,train,2.016017,,,,,,0.00001559,1217.4
0.9044,5100,train,1.959768,,,,,,0.00001552,1228.8
0.9133,5150,train,2.079814,,,,,,0.00001546,1240.1
0.9221,5200,train,2.012372,,,,,,0.00001539,1251.6
0.9310,5250,train,2.040778,,,,,,0.00001533,1263.2
0.9399,5300,train,2.035659,,,,,,0.00001526,1274.4
0.9487,5350,train,1.927355,,,,,,0.00001520,1286.0
0.9576,5400,train,2.074205,,,,,,0.00001513,1297.4
0.9665,5450,train,1.935165,,,,,,0.00001506,1308.5
0.9754,5500,train,2.026488,,,,,,0.00001500,1320.2
0.9842,5550,train,2.003418,,,,,,0.00001493,1331.5
0.9931,5600,train,2.036586,,,,,,0.00001487,1342.7
1.0000,5639,val,2.242011,0.662126,0.518316,0.670653,0.689972,0.662126,,1381.6
1.0020,5650,train,1.959481,,,,,,0.00001480,1385.5
1.0108,5700,train,1.948698,,,,,,0.00001474,1397.1
1.0197,5750,train,1.848773,,,,,,0.00001467,1408.2
1.0286,5800,train,1.871820,,,,,,0.00001460,1419.6
1.0374,5850,train,1.962934,,,,,,0.00001454,1431.0
1.0463,5900,train,1.827239,,,,,,0.00001447,1442.7
1.0552,5950,train,1.804764,,,,,,0.00001441,1453.8
1.0640,6000,train,1.823367,,,,,,0.00001434,1465.3
1.0729,6050,train,1.880833,,,,,,0.00001428,1476.7
1.0818,6100,train,1.910553,,,,,,0.00001421,1488.1
1.0906,6150,train,1.893906,,,,,,0.00001414,1499.8
1.0995,6200,train,1.825549,,,,,,0.00001408,1511.0
1.1084,6250,train,1.859831,,,,,,0.00001401,1522.5
1.1172,6300,train,1.800798,,,,,,0.00001395,1533.9
1.1261,6350,train,1.811153,,,,,,0.00001388,1545.3
1.1350,6400,train,1.879228,,,,,,0.00001382,1556.7
1.1438,6450,train,1.900446,,,,,,0.00001375,1568.4
1.1527,6500,train,1.846533,,,,,,0.00001368,1579.9
1.1616,6550,train,1.816438,,,,,,0.00001362,1591.0
1.1704,6600,train,1.810158,,,,,,0.00001355,1602.5
1.1793,6650,train,1.832739,,,,,,0.00001349,1614.2
1.1882,6700,train,1.873659,,,,,,0.00001342,1625.4
1.1970,6750,train,1.852882,,,,,,0.00001336,1636.9
1.2059,6800,train,1.834643,,,,,,0.00001329,1648.3
1.2148,6850,train,1.771055,,,,,,0.00001322,1659.7
1.2236,6900,train,1.805158,,,,,,0.00001316,1671.1
1.2325,6950,train,1.734522,,,,,,0.00001309,1682.5
1.2414,7000,train,1.868427,,,,,,0.00001303,1693.9
1.2502,7050,train,1.781981,,,,,,0.00001296,1705.4
1.2591,7100,train,1.734357,,,,,,0.00001290,1716.8
1.2680,7150,train,1.871404,,,,,,0.00001283,1728.3
1.2768,7200,train,1.763238,,,,,,0.00001277,1739.7
1.2857,7250,train,1.736808,,,,,,0.00001270,1751.3
1.2946,7300,train,1.819837,,,,,,0.00001263,1762.8
1.3034,7350,train,1.831552,,,,,,0.00001257,1773.9
1.3123,7400,train,1.778114,,,,,,0.00001250,1785.3
1.3212,7450,train,1.803833,,,,,,0.00001244,1796.8
1.3300,7500,train,1.768546,,,,,,0.00001237,1808.2
1.3389,7550,train,1.698811,,,,,,0.00001231,1819.7
1.3478,7600,train,1.765015,,,,,,0.00001224,1831.1
1.3566,7650,train,1.761361,,,,,,0.00001217,1842.5
1.3655,7700,train,1.703914,,,,,,0.00001211,1853.9
1.3744,7750,train,1.762111,,,,,,0.00001204,1865.3
1.3832,7800,train,1.737267,,,,,,0.00001198,1877.0
1.3921,7850,train,1.761760,,,,,,0.00001191,1888.4
1.4010,7900,train,1.765110,,,,,,0.00001185,1899.5
1.4098,7950,train,1.706586,,,,,,0.00001178,1911.2
1.4187,8000,train,1.819378,,,,,,0.00001171,1922.4
1.4276,8050,train,1.785073,,,,,,0.00001165,1933.8
1.4364,8100,train,1.696470,,,,,,0.00001158,1945.5
1.4453,8150,train,1.755267,,,,,,0.00001152,1956.7
1.4542,8200,train,1.677499,,,,,,0.00001145,1968.0
1.4630,8250,train,1.693395,,,,,,0.00001139,1979.4
1.4719,8300,train,1.731650,,,,,,0.00001132,1991.1
1.4808,8350,train,1.821225,,,,,,0.00001125,2002.5
1.4896,8400,train,1.714484,,,,,,0.00001119,2013.7
1.4985,8450,train,1.756391,,,,,,0.00001112,2025.1
1.5074,8500,train,1.732399,,,,,,0.00001106,2036.5
1.5162,8550,train,1.738826,,,,,,0.00001099,2047.9
1.5251,8600,train,1.659076,,,,,,0.00001093,2059.3
1.5340,8650,train,1.800938,,,,,,0.00001086,2070.9
1.5428,8700,train,1.765399,,,,,,0.00001079,2082.1
1.5517,8750,train,1.734056,,,,,,0.00001073,2093.5
1.5606,8800,train,1.753757,,,,,,0.00001066,2105.1
1.5694,8850,train,1.715231,,,,,,0.00001060,2116.2
1.5783,8900,train,1.698061,,,,,,0.00001053,2127.7
1.5872,8950,train,1.764893,,,,,,0.00001047,2139.4
1.5960,9000,train,1.683364,,,,,,0.00001040,2150.5
1.6049,9050,train,1.695999,,,,,,0.00001033,2161.9
1.6138,9100,train,1.760943,,,,,,0.00001027,2173.3
1.6226,9150,train,1.687749,,,,,,0.00001020,2184.7
