epoch,step,global_step,phase,loss,perplexity,accuracy,precision,recall,f1_macro,f1_weighted,learning_rate,samples_per_sec,wall_time_sec
0.0065,50,50,train,9.597701,14730.87,0.071981,,,,,0.00000534,0.0,88.8
0.0131,100,100,train,8.255852,3850.09,0.081275,,,,,0.00001078,0.0,133.1
0.0196,150,150,train,7.400128,1636.19,0.082140,,,,,0.00001623,0.0,177.9
0.0261,200,200,train,6.384960,592.86,0.105773,,,,,0.00002168,0.0,223.1
0.0326,250,250,train,5.534556,253.30,0.131551,,,,,0.00002712,0.0,268.2
0.0392,300,300,train,5.156406,173.54,0.133140,,,,,0.00003257,0.0,313.4
0.0457,350,350,train,5.027730,152.59,0.149158,,,,,0.00003802,0.0,358.6
0.0522,400,400,train,4.961826,142.85,0.148552,,,,,0.00004346,0.0,403.8
0.0588,450,450,train,4.906603,135.18,0.158611,,,,,0.00004891,0.0,449.0
0.0653,500,500,train,4.877832,131.35,0.158194,,,,,0.00005436,0.0,494.3
0.0718,550,550,train,4.841759,126.69,0.155735,,,,,0.00005980,0.0,539.4
0.0784,600,600,train,4.809505,122.67,0.150018,,,,,0.00006525,0.0,584.4
0.0849,650,650,train,4.803448,121.93,0.168910,,,,,0.00007070,0.0,629.7
0.0914,700,700,train,4.784422,119.63,0.156470,,,,,0.00007614,0.0,674.9
0.0979,750,750,train,4.776918,118.74,0.178297,,,,,0.00008159,0.0,719.9
0.1045,800,800,train,4.763722,117.18,0.167006,,,,,0.00008704,0.0,765.3
0.1110,850,850,train,4.754279,116.08,0.172844,,,,,0.00009248,0.0,810.5
0.1175,900,900,train,4.738762,114.29,0.165880,,,,,0.00009793,0.0,855.6
0.1241,950,950,train,4.734463,113.80,0.163352,,,,,0.00009978,0.0,900.7
0.1306,1000,1000,train,4.728524,113.13,0.178639,,,,,0.00009944,0.0,945.8
0.1371,1050,1050,train,4.715421,111.66,0.172348,,,,,0.00009909,0.0,990.9
0.1437,1100,1100,train,4.710218,111.08,0.155936,,,,,0.00009874,0.0,1035.8
0.1502,1150,1150,train,4.705990,110.61,0.156652,,,,,0.00009840,0.0,1080.7
0.1567,1200,1200,train,4.695621,109.47,0.166829,,,,,0.00009805,0.0,1125.8
0.0.1632,1250,1250,train,4.689267,108.77,0.165742,,,,,0.00009770,0.0,1200.40.1698,1300,1300,train,4.687594,108.59,0.167069,,,,,0.00009735,0.0,1215.9
0.1763,1350,1350,train,4.682039,107.99,0.165000,,,,,0.00009701,0.0,1261.3
0.1828,1400,1400,train,4.675358,107.27,0.155885,,,,,0.00009666,0.0,1306.2
0.1894,1450,1450,train,4.662605,105.91,0.173557,,,,,0.00009631,0.0,1351.4
0.1959,1500,1500,train,4.651085,104.70,0.161139,,,,,0.00009596,0.0,1396.7
0.2024,1550,1550,train,4.649125,104.49,0.171970,,,,,0.00009562,0.0,1442.4
0.2090,1600,1600,train,4.630643,102.58,0.168874,,,,,0.00009527,0.0,1488.2
0.2155,1650,1650,train,4.628384,102.35,0.161933,,,,,0.00009492,0.0,1533.8
0.2220,1700,1700,train,4.611125,100.60,0.175162,,,,,0.00009457,0.0,1579.5
0.2285,1750,1750,train,4.614184,100.91,0.168428,,,,,0.00009423,0.0,1624.8
0.2351,1800,1800,train,4.615792,101.07,0.173957,,,,,0.00009388,0.0,1670.4
0.2416,1850,1850,train,4.598837,99.37,0.177414,,,,,0.00009353,0.0,1716.1
0.2481,1900,1900,train,4.601255,99.61,0.165766,,,,,0.00009319,0.0,1761.7
0.0.2547,1950,1950,train,4.598753,99.36,0.178706,,,,,0.00009284,0.0,1837.00.2612,2000,2000,train,4.595535,99.04,0.172078,,,,,0.00009249,0.0,1853.1
0.2677,2050,2050,train,4.588359,98.33,0.161730,,,,,0.00009214,0.0,1898.5
0.2743,2100,2100,train,4.585298,98.03,0.179409,,,,,0.00009180,0.0,1944.2
0.2808,2150,2150,train,4.576101,97.13,0.171419,,,,,0.00009145,0.0,1989.7
0.2873,2200,2200,train,4.558418,95.43,0.180652,,,,,0.00009110,0.0,2035.3
0.2938,2250,2250,train,4.558571,95.45,0.184428,,,,,0.00009075,0.0,2081.0
0.3004,2300,2300,train,4.554792,95.09,0.182692,,,,,0.00009041,0.0,2126.6
0.3069,2350,2350,train,4.559078,95.50,0.176233,,,,,0.00009006,0.0,2171.9
0.3134,2400,2400,train,4.548755,94.51,0.168425,,,,,0.00008971,0.0,2217.4
0.3200,2450,2450,train,4.546671,94.32,0.172149,,,,,0.00008937,0.0,2262.7
0.3265,2500,2500,train,4.534187,93.15,0.180843,,,,,0.00008902,0.0,2307.9
0.3330,2550,2550,train,4.520425,91.87,0.185586,,,,,0.00008867,0.0,2353.2
0.3396,2600,2600,train,4.515079,91.38,0.186671,,,,,0.00008832,0.0,2398.7
0.3461,2650,2650,train,4.512727,91.17,0.178112,,,,,0.00008798,0.0,2444.0
0.3526,2700,2700,train,4.509360,90.86,0.184131,,,,,0.00008763,0.0,2489.2
0.3591,2750,2750,train,4.505818,90.54,0.175836,,,,,0.00008728,0.0,2534.7
0.3657,2800,2800,train,4.491787,89.28,0.167541,,,,,0.00008693,0.0,2579.9
0.3722,2850,2850,train,4.484569,88.64,0.184936,,,,,0.00008659,0.0,2625.0
0.3787,2900,2900,train,4.471630,87.50,0.193683,,,,,0.00008624,0.0,2670.2
0.3853,2950,2950,train,4.468866,87.26,0.185002,,,,,0.00008589,0.0,2715.4
0.3918,3000,3000,train,4.462892,86.74,0.187500,,,,,0.00008554,0.0,2760.7
0.3983,3050,3050,train,4.444088,85.12,0.199507,,,,,0.00008520,0.0,2806.0
0.4049,3100,3100,train,4.438412,84.64,0.182446,,,,,0.00008485,0.0,2851.2
0.4114,3150,3150,train,4.426196,83.61,0.196768,,,,,0.00008450,0.0,2896.1
0.4179,3200,3200,train,4.401328,81.56,0.200207,,,,,0.00008416,0.0,2941.3
0.4244,3250,3250,train,4.393054,80.89,0.205245,,,,,0.00008381,0.0,2986.4
0.4310,3300,3300,train,4.365245,78.67,0.203822,,,,,0.00008346,0.0,3031.7
0.4375,3350,3350,train,4.350587,77.52,0.198479,,,,,0.00008311,0.0,3077.0
0.4440,3400,3400,train,4.326507,75.68,0.233739,,,,,0.00008277,0.0,3122.3
0.4506,3450,3450,train,4.293152,73.20,0.222871,,,,,0.00008242,0.0,3167.7
0.4571,3500,3500,train,4.249743,70.09,0.233310,,,,,0.00008207,0.0,3212.8
0.4636,3550,3550,train,4.202299,66.84,0.233902,,,,,0.00008172,0.0,3258.3
0.4702,3600,3600,train,4.159003,64.01,0.229635,,,,,0.00008138,0.0,3303.6
0.4767,3650,3650,train,4.105146,60.65,0.244040,,,,,0.00008103,0.0,3348.8
0.4832,3700,3700,train,4.064510,58.24,0.243234,,,,,0.00008068,0.0,3394.1
0.4897,3750,3750,train,4.034214,56.50,0.255355,,,,,0.00008033,0.0,3439.4
0.0.4963,3800,3800,train,4.001884,54.70,0.272666,,,,,0.00007999,0.0,3514.50.5028,3850,3850,train,3.966423,52.80,0.261587,,,,,0.00007964,0.0,3530.3
0.5093,3900,3900,train,3.935211,51.17,0.269958,,,,,0.00007929,0.0,3575.7
0.5159,3950,3950,train,3.905654,49.68,0.271245,,,,,0.00007895,0.0,3621.0
